geographical_entity_1,geographical_entity_2,F-score
http://dbpedia.org/resource/Illauneeragh_West,http://dbpedia.org/resource/Illauneeragh,0.95
http://dbpedia.org/resource/Illauneeragh,http://dbpedia.org/resource/Illauneeragh_West,0.95
http://dbpedia.org/resource/County_Offaly,http://dbpedia.org/resource/County_Laois,0.93
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Offaly,0.93
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Galway,0.92
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Meath,0.92
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Kilkenny,0.92
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Westmeath,0.92
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Sligo,0.92
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Leitrim,0.92
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Galway,0.92
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Leitrim,0.92
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Mayo,0.92
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Wexford,0.92
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Kilkenny,0.92
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Kilkenny,0.92
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Meath,0.92
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Kilkenny,0.92
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Westmeath,0.92
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Westmeath,0.92
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Wicklow,0.92
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Louth,0.92
