place,placeName,abstract,country,subject,broaderSubject,placeType,broaderPlaceType,population
"http://dbpedia.org/resource/Holywell,_Swords","Holywell, Swords","Holywell (Irish: Tobar Naofa) is a neighbourhood near Swords, Dublin, Ireland. Developed and marketed in phases and under various names, Feltrim Hall, Gorse Hill, Abbey Stone, Holywell and The Meadows, all the street names in the community include the common name Holywell e.g. 'Holywell Drive'. It is the eastern part of the census town of Kinsealy–Drinan, separated from the western part by the M1 motorway.",http://dbpedia.org/resource/Republic_of_Ireland,"http://dbpedia.org/resource/Category:Neighbourhoods_in_Swords,_Dublin","http://dbpedia.org/resource/Category:Swords,_Dublin","http://dbpedia.org/resource/Swords,_Dublin",http://dbpedia.org/ontology/Place,2479
"http://dbpedia.org/resource/Holywell,_Swords","Holywell, Swords","Holywell (Irish: Tobar Naofa) is a neighbourhood near Swords, Dublin, Ireland. Developed and marketed in phases and under various names, Feltrim Hall, Gorse Hill, Abbey Stone, Holywell and The Meadows, all the street names in the community include the common name Holywell e.g. 'Holywell Drive'. It is the eastern part of the census town of Kinsealy–Drinan, separated from the western part by the M1 motorway.",http://dbpedia.org/resource/Republic_of_Ireland,"http://dbpedia.org/resource/Category:Neighbourhoods_in_Swords,_Dublin","http://dbpedia.org/resource/Category:Swords,_Dublin","http://dbpedia.org/resource/Swords,_Dublin",http://dbpedia.org/ontology/Location,2479
"http://dbpedia.org/resource/Holywell,_Swords","Holywell, Swords","Holywell (Irish: Tobar Naofa) is a neighbourhood near Swords, Dublin, Ireland. Developed and marketed in phases and under various names, Feltrim Hall, Gorse Hill, Abbey Stone, Holywell and The Meadows, all the street names in the community include the common name Holywell e.g. 'Holywell Drive'. It is the eastern part of the census town of Kinsealy–Drinan, separated from the western part by the M1 motorway.",http://dbpedia.org/resource/Republic_of_Ireland,"http://dbpedia.org/resource/Category:Neighbourhoods_in_Swords,_Dublin","http://dbpedia.org/resource/Category:Swords,_Dublin","http://dbpedia.org/resource/Swords,_Dublin",http://dbpedia.org/ontology/PopulatedPlace,2479
"http://dbpedia.org/resource/Holywell,_Swords","Holywell, Swords","Holywell (Irish: Tobar Naofa) is a neighbourhood near Swords, Dublin, Ireland. Developed and marketed in phases and under various names, Feltrim Hall, Gorse Hill, Abbey Stone, Holywell and The Meadows, all the street names in the community include the common name Holywell e.g. 'Holywell Drive'. It is the eastern part of the census town of Kinsealy–Drinan, separated from the western part by the M1 motorway.",http://dbpedia.org/resource/Republic_of_Ireland,"http://dbpedia.org/resource/Category:Neighbourhoods_in_Swords,_Dublin","http://dbpedia.org/resource/Category:Swords,_Dublin","http://dbpedia.org/resource/Swords,_Dublin",http://dbpedia.org/ontology/Settlement,2479
"http://dbpedia.org/resource/Holywell,_Swords","Holywell, Swords","Holywell (Irish: Tobar Naofa) is a neighbourhood near Swords, Dublin, Ireland. Developed and marketed in phases and under various names, Feltrim Hall, Gorse Hill, Abbey Stone, Holywell and The Meadows, all the street names in the community include the common name Holywell e.g. 'Holywell Drive'. It is the eastern part of the census town of Kinsealy–Drinan, separated from the western part by the M1 motorway.",http://dbpedia.org/resource/Republic_of_Ireland,"http://dbpedia.org/resource/Category:Neighbourhoods_in_Swords,_Dublin","http://dbpedia.org/resource/Category:Swords,_Dublin","http://dbpedia.org/resource/Swords,_Dublin",http://dbpedia.org/ontology/Town,2479
http://dbpedia.org/resource/Leyny,Leyny,"Leyney (Luíne) is a barony in central County Sligo, Ireland. It corresponds to the ancient túath of Luíghne.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:Baronies_of_County_Sligo,http://dbpedia.org/resource/Category:History_of_County_Sligo,http://dbpedia.org/resource/Barony_(Ireland),http://dbpedia.org/ontology/Settlement,10241
http://dbpedia.org/resource/Leyny,Leyny,"Leyney (Luíne) is a barony in central County Sligo, Ireland. It corresponds to the ancient túath of Luíghne.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:Baronies_of_County_Sligo,http://dbpedia.org/resource/Category:Baronies_of_Ireland_by_county,http://dbpedia.org/resource/Barony_(Ireland),http://dbpedia.org/ontology/Settlement,10241
http://dbpedia.org/resource/Leyny,Leyny,"Leyney (Luíne) is a barony in central County Sligo, Ireland. It corresponds to the ancient túath of Luíghne.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:Baronies_of_County_Sligo,http://dbpedia.org/resource/Category:Geography_of_County_Sligo,http://dbpedia.org/resource/Barony_(Ireland),http://dbpedia.org/ontology/Settlement,10241
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:County_Cavan,http://dbpedia.org/resource/Category:Local_government_areas_of_the_Republic_of_Ireland,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:County_Cavan,http://dbpedia.org/resource/Category:Ulster,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:County_Cavan,http://dbpedia.org/resource/Category:Counties_of_the_Republic_of_Ireland,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:County_Cavan,http://dbpedia.org/resource/Category:Counties_of_the_United_Kingdom_(1801–1922),http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:Local_government_areas_of_the_Republic_of_Ireland,http://dbpedia.org/resource/Category:Subdivisions_of_the_Republic_of_Ireland,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:Local_government_areas_of_the_Republic_of_Ireland,http://dbpedia.org/resource/Category:First-level_administrative_divisions_by_country,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:Ulster,http://dbpedia.org/resource/Category:Provinces_of_Ireland,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:Ulster,http://dbpedia.org/resource/Category:Divided_regions,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:Ulster,http://dbpedia.org/resource/Category:Wikipedia_categories_named_after_regions,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:Counties_of_the_Republic_of_Ireland,http://dbpedia.org/resource/Category:Subdivisions_of_the_Republic_of_Ireland,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cavan,County Cavan,"County Cavan (/ˈkævən/ KAV-ən; Irish: Contae an Chabháin) is a county in Ireland. It is in the province of Ulster and is part of the Border Region. It is named after the town of Cavan and is based on the historic Gaelic territory of East Breffny (Bréifne). Cavan County Council is the local authority for the county, which had a population of 76,176 at the 2016 census.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:Counties_of_the_Republic_of_Ireland,http://dbpedia.org/resource/Category:Counties_of_Ireland,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,81201
http://dbpedia.org/resource/County_Cork,County Cork,"County Cork (Irish: Contae Chorcaí) is the largest and the southernmost county of Ireland, named after the city of Cork, the state's second-largest city. It is in the province of Munster and the Southern Region. Its largest market towns are Mallow, Macroom, Midleton, and Skibbereen. As of 2022 the county had a population of 581,231, making it the third-most populous county in Ireland. Cork County Council is the local authority for the county, while Cork City Council governs the city of Cork and its environs. Notable Corkonians include Michael Collins, Jack Lynch, Roy Keane, Sonia O'Sullivan and Cillian Murphy. Cork borders four other counties: Kerry to the west, Limerick to the north, Tipperary to the north-east and Waterford to the east. The county contains a section of the Golden Vale pastureland that stretches from Kanturk in the north to Allihies in the south. The south-west region, including West Cork, is one of Ireland's main tourist destinations, known for its rugged coast and megalithic monuments and as the starting point for the Wild Atlantic Way. The largest third-level institution is University College Cork, founded in 1845, and has a total student population of around 22,000. Local industry and employers include technology company Dell EMC, the European headquarters of Apple, and the farmer-owned dairy co-operative Dairygold. The county is known as the ""rebel county"", a name given to it by King Henry VII of England for its support, in a futile attempt at a rebellion in 1491, of Perkin Warbeck, who claimed to be Richard of Shrewsbury, Duke of York.",http://dbpedia.org/resource/Republic_of_Ireland,http://dbpedia.org/resource/Category:County_Cork,http://dbpedia.org/resource/Category:Local_government_areas_of_the_Republic_of_Ireland,http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/ontology/AdministrativeRegion,581231
